config,row_label,col_label,value_row_norm,value_col_norm
Full-CA,Ligament,background,0.13210702341137123,0.34497816593886466
Full-CA,Muscle,IntervertebralDisc,0.0,0.0
Full-CA,Muscle,Skeleton,0.02,0.006493506493506494
Full-CA,Muscle,Ligament,0.02,0.0018115942028985507
Full-CA,Muscle,Muscle,0.8,0.851063829787234
Full-CA,Muscle,Nerve,0.0,0.0
Full-CA,Muscle,IntervertebralDiscHerniation,0.0,0.0
Full-CA,Muscle,background,0.16,0.034934497816593885
Full-CA,Nerve,IntervertebralDisc,0.0,0.0
Full-CA,Nerve,Skeleton,0.0,0.0
Full-CA,Nerve,Ligament,0.0018018018018018018,0.0018115942028985507
Full-CA,Nerve,Muscle,0.0,0.0
Full-CA,Nerve,Nerve,0.8972972972972973,0.89568345323741
Full-CA,Nerve,IntervertebralDiscHerniation,0.0,0.0
Full-CA,Nerve,background,0.1009009009009009,0.2445414847161572
Full-CA,IntervertebralDiscHerniation,IntervertebralDisc,0.01098901098901099,0.004166666666666667
Full-CA,IntervertebralDiscHerniation,Skeleton,0.0,0.0
Full-CA,IntervertebralDiscHerniation,Ligament,0.0,0.0
Full-CA,IntervertebralDiscHerniation,Muscle,0.0,0.0
Full-CA,IntervertebralDiscHerniation,Nerve,0.0,0.0
Full-CA,IntervertebralDiscHerniation,IntervertebralDiscHerniation,0.8131868131868132,0.8043478260869565
Full-CA,IntervertebralDiscHerniation,background,0.17582417582417584,0.06986899563318777
Full-CA,background,IntervertebralDisc,0.14,0.0875
Full-CA,background,Skeleton,0.1,0.09740259740259741
Full-CA,background,Ligament,0.2733333333333333,0.07427536231884058
Full-CA,background,Muscle,0.02666666666666667,0.0851063829787234
Full-CA,background,Nerve,0.36666666666666664,0.09892086330935251
Full-CA,background,IntervertebralDiscHerniation,0.09333333333333334,0.15217391304347827
Full-CA,background,background,0.0,0.0
